TE04313, T3, 4.6, 4.6, 2.01, 1.6, 1.26,0.96,0.77,0.64
TE04472,T1,2.09,2.09,1.77,1.42,1.12,0.85,0.69,0.58
TE04313,T1,2.2,2.2,1.89,1.55,1.27,0.98,0.8,0.68
TE04327,T1,2.06,2.06,1.72,1.37,1.08,0.81,0.65,0.52
TE04448,T1,2.26,2.26,1.82,1.46,1.16,0.88,0.7,0.58
TE04370,T1,2.45,2.45,2.02,1.63,1.3,0.99,0.79,0.65
TE04463,T1,1.94,1.94,1.66,1.34,1.1,0.83,0.68,0.56
TE04403,T1,2.08,2.08,1.79,1.45,1.16,0.88,0.72,0.59
TE04446,T1,2.18,2.18,1.86,1.52,1.23,0.95,0.77,0.64
TE04449,T1,2.63,2.63,2.21,1.8,1.44,1.09,0.88,0.72
TE04452,T1,2.03,2.03,1.74,1.41,1.13,0.85,0.68,0.57
TE03102,T1,2.17,2.17,1.79,1.42,1.13,0.83,0.65,0.53
TE04952,T1,2.32,2.32,1.96,1.57,1.27,0.96,0.77,0.64
TE04471,T1,2.14,2.14,1.82,1.5,1.21,0.94,0.76,0.63
TE03240,T1,2.58,2.58,2.18,1.7,1.33,0.94,0.74,0.57
TE04442,T1,2.29,2.29,1.9,1.53,1.22,0.94,0.75,0.62
TE03174,T1,3.15,3.15,2.77,2.27,1.8,1.33,1.08,0.87
TE04287,T1,2.23,2.23,1.87,1.5,1.19,0.89,0.72,0.62
TE04358,T1,2.8,2.8,2.41,1.98,1.62,1.25,1.02,0.87
TE04423,T1,2.24,2.24,1.78,1.61,1.27,0.94,0.74,0.61
