TE04472,T0,4.72,4.72,2.25,1.84,1.36,0.95,0.72,0.59
TE04313,T0,4.68,4.68,2.88,2.05,1.49,1.07,0.89,0.74
TE04327,T0,4.76,4.76,2.77,1.77,1.26,0.88,0.72,0.6
TE04448,T0,4.8,4.8,3.29,2.18,1.46,1.05,0.8,0.66
TE04370,T0,4.74,4.74,3.14,2.09,1.52,1.11,0.88,0.72
TE04463,T0,4.72,4.72,2.89,1.93,1.3,0.95,0.75,0.62
TE04403,T0,4.76,4.76,2.97,2.1,1.38,1.03,0.79,0.64
TE04446,T0,4.72,4.72,3.1,2.17,1.58,1.11,0.87,0.71
TE04449,T0,4.8,4.8,3.32,2.37,1.69,1.25,0.99,0.8
TE04452,T0,4.73,4.73,2.78,1.82,1.3,0.93,0.74,0.61
TE03102,T0,4.77,4.77,3.11,2.21,1.43,0.98,0.75,0.59
TE04952,T0,4.79,4.79,3.2,2.33,1.54,1.14,0.9,0.73
TE04471,T0,4.69,4.69,3.05,2.13,1.49,1.05,0.84,0.69
TE03240,T0,4.86,4.86,3.06,2.26,1.54,1.01,0.81,0.64
TE04442,T0,4.72,4.72,3.13,2.19,1.52,1.1,0.85,0.7
TE03174,T0,4.87,4.87,3.72,2.92,2.13,1.47,1.15,0.93
TE04287,T0,4.77,4.77,3.07,2.14,1.45,1.05,0.81,0.64
TE04358,T0,4.85,4.85,3.83,2.78,2.03,1.47,1.17,0.97
TE04423,T0,4.7,4.7,2.97,2.1,1.44,1.03,0.83,0.7
