TE04313, T3, 4.6, 4.6, 2.01, 1.6, 1.26,0.96,0.77,0.64
TE04472,T2,4.57,4.57,1.67,1.25,0.97,0.72,0.66,0.55
TE04313,T2,4.43,4.43,1.75,1.57,1.25,0.96,0.78,0.65
TE04327,T2,4.56,4.56,1.6,1.37,1.05,0.78,0.62,0.51
TE04448,T2,4.32,4.32,1.73,1.34,1.15,0.86,0.69,0.57
TE04370,T2,4.38,4.38,1.83,1.53,1.27,0.95,0.76,0.63
TE04463,T2,4.22,4.22,1.51,1.22,1.06,0.8,0.65,0.54
TE04403,T2,4.32,4.32,1.59,1.33,1.16,0.86,0.69,0.58
TE04446,T2,4.37,4.37,1.8,1.42,1.23,0.93,0.75,0.63
TE04449,T2,4.69,4.69,2.77,2.5,2.19,1.74,1.44,1.22
TE04452,T2,4.45,4.45,1.61,1.35,1.09,0.81,0.65,0.54
TE03102,T2,4.32,4.32,1.66,1.2,1.12,0.8,0.63,0.52
TE04952,T2,4.34,4.34,1.78,1.39,1.29,0.96,0.77,0.64
TE04471,T2,4.11,4.11,1.73,1.46,1.18,0.9,0.72,0.6
TE03240,T2,4.86,4.86,2.54,2.1,1.84,1.37,1.09,0.91
TE04442,T2,4.43,4.43,1.81,1.46,1.25,0.93,0.74,0.61
TE03174,T2,4.86,4.86,3.03,2.66,2.39,1.84,1.48,1.22
TE04287,T2,4.45,4.45,1.73,1.38,1.2,0.87,0.69,0.57
TE04358,T2,4.61,4.61,2.22,1.98,1.61,1.22,0.99,0.82
TE04423,T2,4.35,4.35,2.18,2.04,1.68,1.34,1.11,0.94
